route,inter_point
route 7,Warringah Freeway
route 7,Warringah Freeway
route 7,Warringah Freeway
route 7,Warringah Freeway
route 7,Warringah Freeway
route 7,Merrenburn Avenue
route 7,Willoughby Road
route 7,Garland Rd
route 7,Bicentennial Reserve Oval
route 7,Willoughby Road
route 7,Willoughby Road
route 7,Mowbray Road
route 7,Laurel St
route 7,Rosewall St
route 7,260
route 7,214
route 7,Penshurst Street
route 7,Penshurst Street
route 7,Boundary Street
route 7,Babbage Road
route 7,Babbage Road
route 7,Speedway Roseville
route 7,Warringah Road
route 7,Warringah Road
route 7,Roseville Bridge
route 7,Warringah Road
route 7,Warringah Road
route 7,Warringah Road
route 7,Warringah Road
route 7,Warringah Road
route 7,BP
route 7,Warringah Road
route 7,Warringah Road
route 7,Warringah Road
route 7,Warringah Road
route 7,Frenchs Forest Exchange
route 7,Warringah Road
route 7,The Forest High School
route 7,Warringah Road
route 7,Wakehurst Parkway
route 7,Frenchs Forest Road East
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,The Treacy Complex
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,63
route 7,Wakehurst Parkway
route 7,106
route 7,Wakehurst Parkway
route 7,Wakehurst Parkway
route 7,1449
route 7,7-Eleven Narrabeen North
route 7,1513
route 7,Pittwater Sports Centre
route 8,Eastern Distributor
route 8,Eastern Distributor
route 8,Cahill Expressway
route 8,Cahill Expressway
route 8,To the Horses
route 8,Cahill Expressway
route 8,Cahill Expressway
route 8,Sydney Harbour Tunnel Northbound
route 8,Sydney Harbour Tunnel Northbound
route 8,Sydney Harbour Tunnel Southbound
route 8,Sydney Harbour Tunnel Southbound
route 8,Warringah Freeway
route 8,Warringah Freeway
route 8,Warringah Freeway
route 8,Warringah Freeway
route 8,Bon Andrews Oval
route 8,Warringah Freeway
route 8,Warringah Freeway
route 8,Warringah Freeway
route 8,Warringah Freeway
route 8,Merrenburn Avenue
route 8,Warringah Freeway
route 8,Gore Hill Freeway
route 8,1061
route 8,Gore Hill Freeway
route 8,Lane Cove Tunnel
route 8,Lane Cove Tunnel
route 8,Lane Cove Tunnel Onramp
route 8,Kimberley Avenue
route 8,Lane Cove Tunnel
route 8,1-13
route 8,Lane Cove Tunnel
route 8,Lane Cove Tunnel
route 8,Epping Road
route 8,LCT-LCW
route 8,M2 Hills Motorway
route 8,M2 Hills Motorway
route 8,M2 Hills Motorway
route 8,M2 Hills Motorway
route 8,Wicks Road
route 8,M2 Hills Motorway
route 8,M2 Hills Motorway
route 8,M2 Hills Motorway
route 8,M2 Hills Motorway
route 8,M2 Hills Motorway
route 8,M2 Hills Motorway
route 8,44
route 8,M2 Hills Motorway
route 8,M2 Hills Motorway
route 8,M2 Hills Motorway
route 8,M2 Hills Motorway
route 8,M2 Hills Motorway
route 8,M2 Hills Motorway
route 8,22
route 8,M2 Hills Motorway
route 8,20
route 8,M2 Hills Motorway
route 8,Pennant Hills Road Exit
route 8,678-694
route 8,633
route 9,Pavilion on the Park
route 9,Art Gallery of NSW
route 9,Burns 1759-1796
route 9,Sydney
route 9,505
route 9,Major General Lachlan Macquarie
route 9,St James
route 9,Elizabeth Street
route 9,Swissotel Sydney
route 9,Australia Post
route 9,Market Street
route 9,Western Distributor Onramp
route 9,Western Distributor
route 9,Western Distributor
route 9,Darling Quarter Playground
route 9,International Convention Centre Sydney
route 9,Western Distributor
route 9,Western Distributor
route 9,Purgatory
route 9,Western Distributor
route 9,Western Distributor
route 9,Anzac Bridge
route 9,Anzac Bridge
route 9,The Crescent
route 9,The Crescent
route 9,City West Link
route 9,City West Link
route 9,Lilyfield Depot
route 9,City West Link
route 9,City West Link
route 9,City West Link
